drug_A,drug_B,cosine_sim,both_focal
Cytarabine,IWP-2,,False
Cytarabine,Entinostat,0.515148328177802,False
Cytarabine,Wnt-C59,,False
Cytarabine,Entospletinib,0.515148328177802,False
Cytarabine,PRT062607,,False
Cytarabine,JAK_8517,,False
Cytarabine,GSK626616AC,,False
Cytarabine,AZD4547,,False
Cytarabine,Oxaliplatin,0.915107261576768,False
Cytarabine,Dacarbazine,0.9767419466555375,False
Cytarabine,Fulvestrant,0.9553809770206224,False
Cytarabine,123138,,False
Cytarabine,Podophyllotoxin bromide,,False
Cytarabine,50869,,False
Cytarabine,Elephantin,,False
Cytarabine,615590,,False
Cytarabine,Buparlisib,0.515148328177802,False
Cytarabine,Ulixertinib,,False
Cytarabine,Venetoclax,0.9881931765671548,True
Cytarabine,Osimertinib,0.9758496107242288,True
Cytarabine,GSK2578215A,,False
Cytarabine,Savolitinib,0.515148328177802,False
Cytarabine,MIM1,,False
Cytarabine,N25720-51-A1,,False
Cytarabine,ICL-SIRT078,,False
Cytarabine,GSK343,,False
Cytarabine,AGK2,,False
Cytarabine,Remodelin,,False
Cytarabine,VX-11e,,False
Cytarabine,GSK591,,False
Cytarabine,BMS-754807,0.515148328177802,False
Cytarabine,JQ1,,False
Gefitinib,Nutlin-3a (-),,False
Gefitinib,Mirin,,False
Gefitinib,AZD8055,,False
Gefitinib,CCT007093,,False
Gefitinib,Crizotinib,0.998705785227462,True
Gefitinib,TW 37,,False
Gefitinib,Erlotinib,0.999858501831225,True
Gefitinib,MK-1775,0.997422216332732,False
Gefitinib,GSK269962A,,False
Gefitinib,Fulvestrant,0.9879406242208326,False
Gefitinib,Piperlongumine,,False
Gefitinib,BMS-345541,,False
Gefitinib,Talazoparib,0.9953969132990802,True
Gefitinib,XAV939,,False
Gefitinib,Trametinib,0.9988474343189785,True
Gefitinib,AZD5438,0.6320095896411775,False
Gefitinib,AZD1208,0.6320095896411775,False
Gefitinib,AZD1332,,False
Gefitinib,SN-38,0.992990673107046,False
Gefitinib,Ruxolitinib,0.9887622747324136,True
Gefitinib,Cyclophosphamide,0.9363066087549168,False
Gefitinib,Alpelisib,0.9931753751923846,False
Gefitinib,IWP-2,,False
Gefitinib,Entinostat,0.6320095896411775,False
Gefitinib,Wnt-C59,,False
Gefitinib,Entospletinib,0.6320095896411775,False
Gefitinib,PRT062607,,False
Gefitinib,JAK_8517,,False
Gefitinib,GSK626616AC,,False
Gefitinib,AZD4547,,False
Gefitinib,Oxaliplatin,0.9632195095594124,False
Gefitinib,Dacarbazine,0.9973269578784554,False
Gefitinib,Fulvestrant,0.9877185361001755,False
Gefitinib,123138,,False
Gefitinib,Podophyllotoxin bromide,,False
Gefitinib,50869,,False
Gefitinib,Elephantin,,False
Gefitinib,615590,,False
Gefitinib,Buparlisib,0.6320095896411775,False
Gefitinib,Ulixertinib,,False
Gefitinib,Venetoclax,0.9999410743070942,True
Gefitinib,Osimertinib,0.9970172257875637,True
Gefitinib,GSK2578215A,,False
Gefitinib,Savolitinib,0.6320095896411775,False
Gefitinib,MIM1,,False
Gefitinib,N25720-51-A1,,False
Gefitinib,ICL-SIRT078,,False
Gefitinib,GSK343,,False
Gefitinib,AGK2,,False
Gefitinib,Remodelin,,False
Gefitinib,VX-11e,,False
Gefitinib,GSK591,,False
Gefitinib,BMS-754807,0.6320095896411775,False
Gefitinib,JQ1,,False
Nutlin-3a (-),Mirin,,False
Nutlin-3a (-),AZD8055,,False
Nutlin-3a (-),CCT007093,,False
Nutlin-3a (-),Crizotinib,,False
Nutlin-3a (-),TW 37,,False
Nutlin-3a (-),Erlotinib,,False
Nutlin-3a (-),MK-1775,,False
Nutlin-3a (-),GSK269962A,,False
Nutlin-3a (-),Fulvestrant,,False
Nutlin-3a (-),Piperlongumine,,False
Nutlin-3a (-),BMS-345541,,False
Nutlin-3a (-),Talazoparib,,False
Nutlin-3a (-),XAV939,,False
Nutlin-3a (-),Trametinib,,False
Nutlin-3a (-),AZD5438,,False
Nutlin-3a (-),AZD1208,,False
Nutlin-3a (-),AZD1332,,False
Nutlin-3a (-),SN-38,,False
Nutlin-3a (-),Ruxolitinib,,False
Nutlin-3a (-),Cyclophosphamide,,False
Nutlin-3a (-),Alpelisib,,False
Nutlin-3a (-),IWP-2,,False
Nutlin-3a (-),Entinostat,,False
Nutlin-3a (-),Wnt-C59,,False
Nutlin-3a (-),Entospletinib,,False
Nutlin-3a (-),PRT062607,,False
Nutlin-3a (-),JAK_8517,,False
Nutlin-3a (-),GSK626616AC,,False
Nutlin-3a (-),AZD4547,,False
Nutlin-3a (-),Oxaliplatin,,False
Nutlin-3a (-),Dacarbazine,,False
Nutlin-3a (-),Fulvestrant,,False
Nutlin-3a (-),123138,,False
Nutlin-3a (-),Podophyllotoxin bromide,,False
Nutlin-3a (-),50869,,False
Nutlin-3a (-),Elephantin,,False
Nutlin-3a (-),615590,,False
Nutlin-3a (-),Buparlisib,,False
Nutlin-3a (-),Ulixertinib,,False
Nutlin-3a (-),Venetoclax,,False
Nutlin-3a (-),Osimertinib,,False
Nutlin-3a (-),GSK2578215A,,False
Nutlin-3a (-),Savolitinib,,False
Nutlin-3a (-),MIM1,,False
Nutlin-3a (-),N25720-51-A1,,False
Nutlin-3a (-),ICL-SIRT078,,False
Nutlin-3a (-),GSK343,,False
Nutlin-3a (-),AGK2,,False
Nutlin-3a (-),Remodelin,,False
Nutlin-3a (-),VX-11e,,False
Nutlin-3a (-),GSK591,,False
Nutlin-3a (-),BMS-754807,,False
Nutlin-3a (-),JQ1,,False
Mirin,AZD8055,,False
Mirin,CCT007093,,False
Mirin,Crizotinib,,False
Mirin,TW 37,,False
Mirin,Erlotinib,,False
Mirin,MK-1775,,False
Mirin,GSK269962A,,False
Mirin,Fulvestrant,,False
Mirin,Piperlongumine,,False
Mirin,BMS-345541,,False
Mirin,Talazoparib,,False
Mirin,XAV939,,False
Mirin,Trametinib,,False
Mirin,AZD5438,,False
Mirin,AZD1208,,False
Mirin,AZD1332,,False
Mirin,SN-38,,False
Mirin,Ruxolitinib,,False
Mirin,Cyclophosphamide,,False
Mirin,Alpelisib,,False
Mirin,IWP-2,,False
Mirin,Entinostat,,False
Mirin,Wnt-C59,,False
Mirin,Entospletinib,,False
Mirin,PRT062607,,False
Mirin,JAK_8517,,False
Mirin,GSK626616AC,,False
Mirin,AZD4547,,False
Mirin,Oxaliplatin,,False
Mirin,Dacarbazine,,False
Mirin,Fulvestrant,,False
Mirin,123138,,False
Mirin,Podophyllotoxin bromide,,False
Mirin,50869,,False
Mirin,Elephantin,,False
Mirin,615590,,False
Mirin,Buparlisib,,False
Mirin,Ulixertinib,,False
Mirin,Venetoclax,,False
Mirin,Osimertinib,,False
Mirin,GSK2578215A,,False
Mirin,Savolitinib,,False
Mirin,MIM1,,False
Mirin,N25720-51-A1,,False
Mirin,ICL-SIRT078,,False
Mirin,GSK343,,False
Mirin,AGK2,,False
Mirin,Remodelin,,False
Mirin,VX-11e,,False
Mirin,GSK591,,False
Mirin,BMS-754807,,False
Mirin,JQ1,,False
AZD8055,CCT007093,,False
AZD8055,Crizotinib,,False
AZD8055,TW 37,,False
AZD8055,Erlotinib,,False
AZD8055,MK-1775,,False
AZD8055,GSK269962A,,False
AZD8055,Fulvestrant,,False
AZD8055,Piperlongumine,,False
AZD8055,BMS-345541,,False
AZD8055,Talazoparib,,False
AZD8055,XAV939,,False
AZD8055,Trametinib,,False
AZD8055,AZD5438,,False
AZD8055,AZD1208,,False
AZD8055,AZD1332,,False
AZD8055,SN-38,,False
AZD8055,Ruxolitinib,,False
AZD8055,Cyclophosphamide,,False
AZD8055,Alpelisib,,False
AZD8055,IWP-2,,False
AZD8055,Entinostat,,False
AZD8055,Wnt-C59,,False
AZD8055,Entospletinib,,False
AZD8055,PRT062607,,False
AZD8055,JAK_8517,,False
AZD8055,GSK626616AC,,False
AZD8055,AZD4547,,False
AZD8055,Oxaliplatin,,False
AZD8055,Dacarbazine,,False
AZD8055,Fulvestrant,,False
AZD8055,123138,,False
AZD8055,Podophyllotoxin bromide,,False
AZD8055,50869,,False
AZD8055,Elephantin,,False
AZD8055,615590,,False
AZD8055,Buparlisib,,False
AZD8055,Ulixertinib,,False
AZD8055,Venetoclax,,False
AZD8055,Osimertinib,,False
AZD8055,GSK2578215A,,False
AZD8055,Savolitinib,,False
AZD8055,MIM1,,False
AZD8055,N25720-51-A1,,False
AZD8055,ICL-SIRT078,,False
AZD8055,GSK343,,False
AZD8055,AGK2,,False
AZD8055,Remodelin,,False
AZD8055,VX-11e,,False
AZD8055,GSK591,,False
AZD8055,BMS-754807,,False
AZD8055,JQ1,,False
CCT007093,Crizotinib,,False
CCT007093,TW 37,,False
CCT007093,Erlotinib,,False
CCT007093,MK-1775,,False
CCT007093,GSK269962A,,False
CCT007093,Fulvestrant,,False
CCT007093,Piperlongumine,,False
CCT007093,BMS-345541,,False
CCT007093,Talazoparib,,False
CCT007093,XAV939,,False
CCT007093,Trametinib,,False
CCT007093,AZD5438,,False
CCT007093,AZD1208,,False
CCT007093,AZD1332,,False
CCT007093,SN-38,,False
CCT007093,Ruxolitinib,,False
CCT007093,Cyclophosphamide,,False
CCT007093,Alpelisib,,False
CCT007093,IWP-2,,False
CCT007093,Entinostat,,False
CCT007093,Wnt-C59,,False
CCT007093,Entospletinib,,False
CCT007093,PRT062607,,False
CCT007093,JAK_8517,,False
CCT007093,GSK626616AC,,False
CCT007093,AZD4547,,False
CCT007093,Oxaliplatin,,False
CCT007093,Dacarbazine,,False
CCT007093,Fulvestrant,,False
CCT007093,123138,,False
CCT007093,Podophyllotoxin bromide,,False
CCT007093,50869,,False
CCT007093,Elephantin,,False
CCT007093,615590,,False
CCT007093,Buparlisib,,False
CCT007093,Ulixertinib,,False
CCT007093,Venetoclax,,False
CCT007093,Osimertinib,,False
CCT007093,GSK2578215A,,False
CCT007093,Savolitinib,,False
CCT007093,MIM1,,False
CCT007093,N25720-51-A1,,False
CCT007093,ICL-SIRT078,,False
CCT007093,GSK343,,False
CCT007093,AGK2,,False
CCT007093,Remodelin,,False
CCT007093,VX-11e,,False
CCT007093,GSK591,,False
CCT007093,BMS-754807,,False
CCT007093,JQ1,,False
Crizotinib,TW 37,,False
Crizotinib,Erlotinib,0.99942003448885,True
Crizotinib,MK-1775,0.9924818174722058,False
Crizotinib,GSK269962A,,False
Crizotinib,Fulvestrant,0.9787871770333365,False
Crizotinib,Piperlongumine,,False
Crizotinib,BMS-345541,,False
Crizotinib,Talazoparib,0.9892343044903391,True
Crizotinib,XAV939,,False
Crizotinib,Trametinib,0.9999958938744762,True
Crizotinib,AZD5438,0.5917770251936616,False
Crizotinib,AZD1208,0.5917770251936616,False
Crizotinib,AZD1332,,False
Crizotinib,SN-38,0.9856942299211514,False
Crizotinib,Ruxolitinib,0.995086011246405,True
Crizotinib,Cyclophosphamide,0.9172335764120325,False
Crizotinib,Alpelisib,0.985958148448291,False
Crizotinib,IWP-2,,False
Crizotinib,Entinostat,0.5917770251936616,False
Crizotinib,Wnt-C59,,False
Crizotinib,Entospletinib,0.5917770251936616,False
Crizotinib,PRT062607,,False
Crizotinib,JAK_8517,,False
Crizotinib,GSK626616AC,,False
Crizotinib,AZD4547,,False
Crizotinib,Oxaliplatin,0.948305972001817,False
Crizotinib,Dacarbazine,0.9923199511252806,False
Crizotinib,Fulvestrant,0.9784936386855466,False
Crizotinib,123138,,False
Crizotinib,Podophyllotoxin bromide,,False
Crizotinib,50869,,False
Crizotinib,Elephantin,,False
Crizotinib,615590,,False
Crizotinib,Buparlisib,0.5917770251936616,False
Crizotinib,Ulixertinib,,False
Crizotinib,Venetoclax,0.9980948093377923,True
Crizotinib,Osimertinib,0.9918015184711307,True
Crizotinib,GSK2578215A,,False
Crizotinib,Savolitinib,0.5917770251936616,False
Crizotinib,MIM1,,False
Crizotinib,N25720-51-A1,,False
Crizotinib,ICL-SIRT078,,False
Crizotinib,GSK343,,False
Crizotinib,AGK2,,False
Crizotinib,Remodelin,,False
Crizotinib,VX-11e,,False
Crizotinib,GSK591,,False
Crizotinib,BMS-754807,0.5917770251936616,False
Crizotinib,JQ1,,False
TW 37,Erlotinib,,False
TW 37,MK-1775,,False
TW 37,GSK269962A,,False
TW 37,Fulvestrant,,False
TW 37,Piperlongumine,,False
TW 37,BMS-345541,,False
TW 37,Talazoparib,,False
TW 37,XAV939,,False
TW 37,Trametinib,,False
TW 37,AZD5438,,False
TW 37,AZD1208,,False
TW 37,AZD1332,,False
TW 37,SN-38,,False
TW 37,Ruxolitinib,,False
TW 37,Cyclophosphamide,,False
TW 37,Alpelisib,,False
TW 37,IWP-2,,False
TW 37,Entinostat,,False
TW 37,Wnt-C59,,False
TW 37,Entospletinib,,False
TW 37,PRT062607,,False
TW 37,JAK_8517,,False
TW 37,GSK626616AC,,False
TW 37,AZD4547,,False
TW 37,Oxaliplatin,,False
TW 37,Dacarbazine,,False
TW 37,Fulvestrant,,False
TW 37,123138,,False
TW 37,Podophyllotoxin bromide,,False
TW 37,50869,,False
TW 37,Elephantin,,False
TW 37,615590,,False
TW 37,Buparlisib,,False
TW 37,Ulixertinib,,False
TW 37,Venetoclax,,False
TW 37,Osimertinib,,False
TW 37,GSK2578215A,,False
TW 37,Savolitinib,,False
TW 37,MIM1,,False
TW 37,N25720-51-A1,,False
TW 37,ICL-SIRT078,,False
TW 37,GSK343,,False
TW 37,AGK2,,False
TW 37,Remodelin,,False
TW 37,VX-11e,,False
TW 37,GSK591,,False
TW 37,BMS-754807,,False
TW 37,JQ1,,False
Erlotinib,MK-1775,0.9960740108044678,False
Erlotinib,GSK269962A,,False
Erlotinib,Fulvestrant,0.9851962436686256,False
Erlotinib,Piperlongumine,,False
Erlotinib,BMS-345541,,False
Erlotinib,Talazoparib,0.9936438837101219,True
Erlotinib,XAV939,,False
Erlotinib,Trametinib,0.9995135159020565,True
Erlotinib,AZD5438,0.6188838523864969,False
Erlotinib,AZD1208,0.6188838523864969,False
Erlotinib,AZD1332,,False
Erlotinib,SN-38,0.9908619403529219,False
Erlotinib,Ruxolitinib,0.9911371796183643,True
Erlotinib,Cyclophosphamide,0.9302665473999494,False
Erlotinib,Alpelisib,0.9910728960588031,False
Erlotinib,IWP-2,,False
Erlotinib,Entinostat,0.6188838523864969,False
Erlotinib,Wnt-C59,,False
Erlotinib,Entospletinib,0.6188838523864969,False
Erlotinib,PRT062607,,False
Erlotinib,JAK_8517,,False
Erlotinib,GSK626616AC,,False
Erlotinib,AZD4547,,False
Erlotinib,Oxaliplatin,0.9585629056261118,False
Erlotinib,Dacarbazine,0.9959566946150981,False
Erlotinib,Fulvestrant,0.9849504598752353,False
Erlotinib,123138,,False
Erlotinib,Podophyllotoxin bromide,,False
Erlotinib,50869,,False
Erlotinib,Elephantin,,False
Erlotinib,615590,,False
Erlotinib,Buparlisib,0.6188838523864969,False
Erlotinib,Ulixertinib,,False
Erlotinib,Venetoclax,0.999616969667351,True
Erlotinib,Osimertinib,0.9955778464404068,True
Erlotinib,GSK2578215A,,False
Erlotinib,Savolitinib,0.6188838523864969,False
Erlotinib,MIM1,,False
Erlotinib,N25720-51-A1,,False
Erlotinib,ICL-SIRT078,,False
Erlotinib,GSK343,,False
Erlotinib,AGK2,,False
Erlotinib,Remodelin,,False
Erlotinib,VX-11e,,False
Erlotinib,GSK591,,False
Erlotinib,BMS-754807,0.6188838523864969,False
Erlotinib,JQ1,,False
MK-1775,GSK269962A,,False
MK-1775,Fulvestrant,0.9965041375919117,False
MK-1775,Piperlongumine,,False
MK-1775,BMS-345541,,False
MK-1775,Talazoparib,0.9997079696314828,False
MK-1775,XAV939,,False
MK-1775,Trametinib,0.9928284813945704,False
MK-1775,AZD5438,0.6859884696871031,False
MK-1775,AZD1208,0.6859884696871031,False
MK-1775,AZD1332,,False
MK-1775,SN-38,0.9989119950536816,False
MK-1775,Ruxolitinib,0.9754861993214918,False
MK-1775,Cyclophosphamide,0.9590925417880775,False
MK-1775,Alpelisib,0.9989841213173493,False
MK-1775,IWP-2,,False
MK-1775,Entinostat,0.6859884696871031,False
MK-1775,Wnt-C59,,False
MK-1775,Entospletinib,0.6859884696871031,False
MK-1775,PRT062607,,False
MK-1775,JAK_8517,,False
MK-1775,GSK626616AC,,False
MK-1775,AZD4547,,False
MK-1775,Oxaliplatin,0.980018506157275,False
MK-1775,Dacarbazine,0.9999991347221735,False
MK-1775,Fulvestrant,0.9963838329739024,False
MK-1775,123138,,False
MK-1775,Podophyllotoxin bromide,,False
MK-1775,50869,,False
MK-1775,Elephantin,,False
MK-1775,615590,,False
MK-1775,Buparlisib,0.6859884696871031,False
MK-1775,Ulixertinib,,False
MK-1775,Venetoclax,0.9981424096472025,False
MK-1775,Osimertinib,0.9999852116050025,False
MK-1775,GSK2578215A,,False
MK-1775,Savolitinib,0.6859884696871031,False
MK-1775,MIM1,,False
MK-1775,N25720-51-A1,,False
MK-1775,ICL-SIRT078,,False
MK-1775,GSK343,,False
MK-1775,AGK2,,False
MK-1775,Remodelin,,False
MK-1775,VX-11e,,False
MK-1775,GSK591,,False
MK-1775,BMS-754807,0.6859884696871031,False
MK-1775,JQ1,,False
GSK269962A,Fulvestrant,,False
GSK269962A,Piperlongumine,,False
GSK269962A,BMS-345541,,False
GSK269962A,Talazoparib,,False
GSK269962A,XAV939,,False
GSK269962A,Trametinib,,False
GSK269962A,AZD5438,,False
GSK269962A,AZD1208,,False
GSK269962A,AZD1332,,False
GSK269962A,SN-38,,False
GSK269962A,Ruxolitinib,,False
GSK269962A,Cyclophosphamide,,False
GSK269962A,Alpelisib,,False
GSK269962A,IWP-2,,False
GSK269962A,Entinostat,,False
GSK269962A,Wnt-C59,,False
GSK269962A,Entospletinib,,False
GSK269962A,PRT062607,,False
GSK269962A,JAK_8517,,False
GSK269962A,GSK626616AC,,False
GSK269962A,AZD4547,,False
GSK269962A,Oxaliplatin,,False
GSK269962A,Dacarbazine,,False
GSK269962A,Fulvestrant,,False
GSK269962A,123138,,False
GSK269962A,Podophyllotoxin bromide,,False
GSK269962A,50869,,False
GSK269962A,Elephantin,,False
GSK269962A,615590,,False
GSK269962A,Buparlisib,,False
GSK269962A,Ulixertinib,,False
GSK269962A,Venetoclax,,False
GSK269962A,Osimertinib,,False
GSK269962A,GSK2578215A,,False
GSK269962A,Savolitinib,,False
GSK269962A,MIM1,,False
GSK269962A,N25720-51-A1,,False
GSK269962A,ICL-SIRT078,,False
GSK269962A,GSK343,,False
GSK269962A,AGK2,,False
GSK269962A,Remodelin,,False
GSK269962A,VX-11e,,False
GSK269962A,GSK591,,False
GSK269962A,BMS-754807,,False
GSK269962A,JQ1,,False
Fulvestrant,Piperlongumine,,False
Fulvestrant,BMS-345541,,False
Fulvestrant,Talazoparib,0.9982320037706688,False
Fulvestrant,XAV939,,False
Fulvestrant,Trametinib,0.9793702814787054,False
Fulvestrant,AZD5438,0.7443775807738976,False
Fulvestrant,AZD1208,0.7443775807738976,False
Fulvestrant,AZD1332,,False
Fulvestrant,SN-38,0.9993159863676657,False
Fulvestrant,Ruxolitinib,0.9536914163076209,False
Fulvestrant,Cyclophosphamide,0.979390222685238,False
Fulvestrant,Alpelisib,0.9992565752489002,False
Fulvestrant,IWP-2,,False
Fulvestrant,Entinostat,0.7443775807738976,False
Fulvestrant,Wnt-C59,,False
Fulvestrant,Entospletinib,0.7443775807738976,False
Fulvestrant,PRT062607,,False
Fulvestrant,JAK_8517,,False
Fulvestrant,GSK626616AC,,False
Fulvestrant,AZD4547,,False
Fulvestrant,Oxaliplatin,0.9932098121372422,False
Fulvestrant,Dacarbazine,0.9966131771791187,False
Fulvestrant,Fulvestrant,0.999998980599407,False
Fulvestrant,123138,,False
Fulvestrant,Podophyllotoxin bromide,,False
Fulvestrant,50869,,False
Fulvestrant,Elephantin,,False
Fulvestrant,615590,,False
Fulvestrant,Buparlisib,0.7443775807738976,False
Fulvestrant,Ulixertinib,,False
Fulvestrant,Venetoclax,0.9895632440759297,False
Fulvestrant,Osimertinib,0.9969437463480947,False
Fulvestrant,GSK2578215A,,False
Fulvestrant,Savolitinib,0.7443775807738976,False
Fulvestrant,MIM1,,False
Fulvestrant,N25720-51-A1,,False
Fulvestrant,ICL-SIRT078,,False
Fulvestrant,GSK343,,False
Fulvestrant,AGK2,,False
Fulvestrant,Remodelin,,False
Fulvestrant,VX-11e,,False
Fulvestrant,GSK591,,False
Fulvestrant,BMS-754807,0.7443775807738976,False
Fulvestrant,JQ1,,False
Piperlongumine,BMS-345541,,False
Piperlongumine,Talazoparib,,False
Piperlongumine,XAV939,,False
Piperlongumine,Trametinib,,False
Piperlongumine,AZD5438,,False
Piperlongumine,AZD1208,,False
Piperlongumine,AZD1332,,False
Piperlongumine,SN-38,,False
Piperlongumine,Ruxolitinib,,False
Piperlongumine,Cyclophosphamide,,False
Piperlongumine,Alpelisib,,False
Piperlongumine,IWP-2,,False
Piperlongumine,Entinostat,,False
Piperlongumine,Wnt-C59,,False
Piperlongumine,Entospletinib,,False
Piperlongumine,PRT062607,,False
Piperlongumine,JAK_8517,,False
Piperlongumine,GSK626616AC,,False
Piperlongumine,AZD4547,,False
Piperlongumine,Oxaliplatin,,False
Piperlongumine,Dacarbazine,,False
Piperlongumine,Fulvestrant,,False
Piperlongumine,123138,,False
Piperlongumine,Podophyllotoxin bromide,,False
Piperlongumine,50869,,False
Piperlongumine,Elephantin,,False
Piperlongumine,615590,,False
Piperlongumine,Buparlisib,,False
Piperlongumine,Ulixertinib,,False
Piperlongumine,Venetoclax,,False
Piperlongumine,Osimertinib,,False
Piperlongumine,GSK2578215A,,False
Piperlongumine,Savolitinib,,False
Piperlongumine,MIM1,,False
Piperlongumine,N25720-51-A1,,False
Piperlongumine,ICL-SIRT078,,False
Piperlongumine,GSK343,,False
Piperlongumine,AGK2,,False
Piperlongumine,Remodelin,,False
Piperlongumine,VX-11e,,False
Piperlongumine,GSK591,,False
Piperlongumine,BMS-754807,,False
Piperlongumine,JQ1,,False
BMS-345541,Talazoparib,,False
BMS-345541,XAV939,,False
BMS-345541,Trametinib,,False
BMS-345541,AZD5438,,False
BMS-345541,AZD1208,,False
BMS-345541,AZD1332,,False
BMS-345541,SN-38,,False
BMS-345541,Ruxolitinib,,False
BMS-345541,Cyclophosphamide,,False
BMS-345541,Alpelisib,,False
BMS-345541,IWP-2,,False
BMS-345541,Entinostat,,False
BMS-345541,Wnt-C59,,False
BMS-345541,Entospletinib,,False
BMS-345541,PRT062607,,False
BMS-345541,JAK_8517,,False
BMS-345541,GSK626616AC,,False
BMS-345541,AZD4547,,False
BMS-345541,Oxaliplatin,,False
BMS-345541,Dacarbazine,,False
BMS-345541,Fulvestrant,,False
BMS-345541,123138,,False
BMS-345541,Podophyllotoxin bromide,,False
BMS-345541,50869,,False
BMS-345541,Elephantin,,False
BMS-345541,615590,,False
BMS-345541,Buparlisib,,False
BMS-345541,Ulixertinib,,False
BMS-345541,Venetoclax,,False
BMS-345541,Osimertinib,,False
BMS-345541,GSK2578215A,,False
BMS-345541,Savolitinib,,False
BMS-345541,MIM1,,False
BMS-345541,N25720-51-A1,,False
BMS-345541,ICL-SIRT078,,False
BMS-345541,GSK343,,False
BMS-345541,AGK2,,False
BMS-345541,Remodelin,,False
BMS-345541,VX-11e,,False
BMS-345541,GSK591,,False
BMS-345541,BMS-754807,,False
BMS-345541,JQ1,,False
Talazoparib,XAV939,,False
Talazoparib,Trametinib,0.9896496099816294,True
Talazoparib,AZD5438,0.7033713191181274,False
Talazoparib,AZD1208,0.7033713191181274,False
Talazoparib,AZD1332,,False
Talazoparib,SN-38,0.9997472451852473,False
Talazoparib,Ruxolitinib,0.9698834343903117,True
Talazoparib,Cyclophosphamide,0.9656535589239645,False
Talazoparib,Alpelisib,0.9997813751112463,False
Talazoparib,IWP-2,,False
Talazoparib,Entinostat,0.7033713191181274,False
Talazoparib,Wnt-C59,,False
Talazoparib,Entospletinib,0.7033713191181274,False
Talazoparib,PRT062607,,False
Talazoparib,JAK_8517,,False
Talazoparib,GSK626616AC,,False
Talazoparib,AZD4547,,False
Talazoparib,Oxaliplatin,0.9845389986071873,False
Talazoparib,Dacarbazine,0.9997388945668385,False
Talazoparib,Fulvestrant,0.9981461168078094,False
Talazoparib,123138,,False
Talazoparib,Podophyllotoxin bromide,,False
Talazoparib,50869,,False
Talazoparib,Elephantin,,False
Talazoparib,615590,,False
Talazoparib,Buparlisib,0.7033713191181274,False
Talazoparib,Ulixertinib,,False
