SANGER_MODEL_ID,model_name,tissue,cancer_type,COSMIC_ID
SIDM00565,OSC-20,Head and Neck,Oral Cavity Carcinoma,1240196
SIDM00564,OVISE,Ovary,Ovarian Carcinoma,1240198
SIDM00586,huH-1,Liver,Hepatocellular Carcinoma,1298146
SIDM00573,no-11,Central Nervous System,Glioblastoma,908450
SIDM00653,NCI-H1092,Lung,Small Cell Lung Carcinoma,687997
SIDM00881,HCC1428,Breast,Breast Carcinoma,1290905
SIDM00622,D-247MG,Central Nervous System,Glioblastoma,946367
SIDM00620,D-336MG,Central Nervous System,Glioblastoma,946369
SIDM00621,EW-13,Bone,Ewing's Sarcoma,949166
SIDM00858,G-292-Clone-A141B1,Bone,Osteosarcoma,1290807
SIDM00675,HCC38,Breast,Breast Carcinoma,749717
SIDM00673,HCC70,Breast,Breast Carcinoma,907048
SIDM00671,HH,Haematopoietic and Lymphoid,T-Cell Non-Hodgkin's Lymphoma,907056
SIDM00670,HPAC,Pancreas,Pancreatic Carcinoma,1298136
SIDM00669,HPAF-II,Pancreas,Pancreatic Carcinoma,724869
SIDM00676,HT-1197,Bladder,Bladder Carcinoma,907065
SIDM00678,HT-1376,Bladder,Bladder Carcinoma,907066
SIDM00667,Hs-633T,Soft Tissue,Other Sarcomas,1240149
SIDM00666,Hs-683,Central Nervous System,Glioma,1240150
SIDM00665,Hs-746T,Stomach,Gastric Carcinoma,1240151
SIDM00688,JSC-1,Haematopoietic and Lymphoid,B-Cell Non-Hodgkin's Lymphoma,1327769
SIDM00619,KMH-2,Thyroid,Thyroid Gland Carcinoma,1298167
SIDM00681,LS1034,Large Intestine,Colorectal Carcinoma,917486
SIDM00677,LS-513,Large Intestine,Colorectal Carcinoma,907795
SIDM00659,M059J,Central Nervous System,Glioblastoma,949094
SIDM00637,MC116,Haematopoietic and Lymphoid,B-Cell Non-Hodgkin's Lymphoma,907799
SIDM00631,MDA-MB-330,Breast,Breast Carcinoma,1330941
SIDM00628,MDA-MB-468,Breast,Breast Carcinoma,908123
SIDM00627,ME-180,Cervix,Cervical Carcinoma,687514
SIDM00625,MES-SA,Uterus,Other Sarcomas,908127
SIDM00638,MS751,Cervix,Cervical Carcinoma,1240179
SIDM00640,MSTO-211H,Lung,Mesothelioma,908152
SIDM00657,MV-4-11,Haematopoietic and Lymphoid,Acute Myeloid Leukemia,908156
SIDM00623,Mo-T,Haematopoietic and Lymphoid,Other Blood Cancers,908149
SIDM00578,NB1,Peripheral Nervous System,Neuroblastoma,949179
SIDM00652,NCI-H1105,Lung,Small Cell Lung Carcinoma,908468
SIDM00651,NCI-H1155,Lung,Non-Small Cell Lung Carcinoma,908467
SIDM00649,NCI-H1299,Lung,Non-Small Cell Lung Carcinoma,724831
SIDM00645,NCI-H1355,Lung,Non-Small Cell Lung Carcinoma,724866
SIDM00658,NCI-H1435,Lung,Non-Small Cell Lung Carcinoma,1298347
SIDM00698,NCI-H146,Lung,Small Cell Lung Carcinoma,910899
SIDM00744,NCI-H1651,Lung,Non-Small Cell Lung Carcinoma,910900
SIDM00742,NCI-H1693,Lung,Non-Small Cell Lung Carcinoma,687802
SIDM00740,NCI-H1703,Lung,Squamous Cell Lung Carcinoma,908474
SIDM00735,NCI-H2029,Lung,Small Cell Lung Carcinoma,688011
SIDM00709,NCI-H2085,Lung,Non-Small Cell Lung Carcinoma,687812
SIDM00699,NCI-H2141,Lung,Small Cell Lung Carcinoma,688014
SIDM00731,NCI-H2196,Lung,Small Cell Lung Carcinoma,908481
SIDM00729,NCI-H2228,Lung,Non-Small Cell Lung Carcinoma,687816
SIDM00728,NCI-H2291,Lung,Non-Small Cell Lung Carcinoma,724874
SIDM01070,HCC-366,Lung,Non-Small Cell Lung Carcinoma,1240144
SIDM00686,KLE,Endometrium,Endometrial Carcinoma,924187
SIDM00766,NCI-H1876,Lung,Small Cell Lung Carcinoma,1330972
SIDM00734,NCI-H1437,Lung,Non-Small Cell Lung Carcinoma,687794
SIDM00121,CCRF-CEM,Haematopoietic and Lymphoid,T-Lymphoblastic Leukemia,905952
SIDM00732,D-263MG,Central Nervous System,Glioblastoma,946368
SIDM00882,HCC1419,Breast,Breast Carcinoma,907045
SIDM00806,HOS,Bone,Osteosarcoma,907060
SIDM00695,HT-144,Skin,Melanoma,907067
SIDM00679,HT-3,Cervix,Cervical Carcinoma,907068
SIDM00694,HuTu-80,Small Intestine,Other Solid Cancers,907073
SIDM00693,J82,Bladder,Bladder Carcinoma,753566
SIDM00689,JM1,Haematopoietic and Lymphoid,B-Lymphoblastic Leukemia,1327768
SIDM00685,LN-18,Central Nervous System,Glioblastoma,1240168
SIDM00630,MDA-MB-415,Breast,Breast Carcinoma,924240
SIDM00750,NCI-H1568,Lung,Non-Small Cell Lung Carcinoma,1298348
SIDM00749,NCI-H1573,Lung,Non-Small Cell Lung Carcinoma,908472
SIDM00748,NCI-H1581,Lung,Non-Small Cell Lung Carcinoma,908471
SIDM00747,NCI-H1623,Lung,Non-Small Cell Lung Carcinoma,687798
SIDM00746,NCI-H1648,Lung,Non-Small Cell Lung Carcinoma,687799
SIDM00745,NCI-H1650,Lung,Non-Small Cell Lung Carcinoma,687800
SIDM00743,NCI-H1666,Lung,Non-Small Cell Lung Carcinoma,908473
SIDM00792,NCI-H1688,Lung,Small Cell Lung Carcinoma,1298349
SIDM00741,NCI-H1694,Lung,Small Cell Lung Carcinoma,688006
SIDM00739,NCI-H1734,Lung,Non-Small Cell Lung Carcinoma,722058
SIDM00738,NCI-H1755,Lung,Non-Small Cell Lung Carcinoma,908475
SIDM00768,NCI-H1869,Lung,Non-Small Cell Lung Carcinoma,1240183
SIDM00715,NCI-H2030,Lung,Non-Small Cell Lung Carcinoma,722045
SIDM00710,NCI-H2081,Lung,Small Cell Lung Carcinoma,908480
SIDM00708,NCI-H2087,Lung,Non-Small Cell Lung Carcinoma,724834
SIDM00706,NCI-H209,Lung,Small Cell Lung Carcinoma,688013
SIDM00704,NCI-H211,Lung,Small Cell Lung Carcinoma,1240189
SIDM00716,NCI-H2170,Lung,Squamous Cell Lung Carcinoma,687815
SIDM00733,NCI-H2171,Lung,Small Cell Lung Carcinoma,688015
SIDM00730,NCI-H2227,Lung,Small Cell Lung Carcinoma,688018
SIDM00727,NCI-H2342,Lung,Non-Small Cell Lung Carcinoma,687819
SIDM00726,NCI-H2347,Lung,Non-Small Cell Lung Carcinoma,687820
SIDM00723,NCI-H2444,Lung,Non-Small Cell Lung Carcinoma,1298356
SIDM00722,NCI-H2452,Lung,Mesothelioma,908462
SIDM00814,SW13,Adrenal Gland,Other Solid Cancers,909744
SIDM00782,T84,Large Intestine,Colorectal Carcinoma,909761
SIDM00807,5637,Bladder,Bladder Carcinoma,687452
SIDM00801,A101D,Skin,Melanoma,910921
SIDM00798,A204,Soft Tissue,Rhabdomyosarcoma,910784
SIDM00797,A2058,Skin,Melanoma,906792
SIDM00796,A253,Head and Neck,Head and Neck Carcinoma,906794
SIDM00794,A388,Skin,Other Solid Cancers,910697
SIDM00810,A427,Lung,Non-Small Cell Lung Carcinoma,910851
SIDM00895,BC-3,Haematopoietic and Lymphoid,B-Cell Non-Hodgkin's Lymphoma,910918
SIDM00893,BT-20,Breast,Breast Carcinoma,906801
SIDM00917,CESS,Haematopoietic and Lymphoid,Acute Myeloid Leukemia,910688
SIDM00952,CRO-AP2,Haematopoietic and Lymphoid,B-Cell Non-Hodgkin's Lymphoma,906807
SIDM00886,DB,Haematopoietic and Lymphoid,B-Cell Non-Hodgkin's Lymphoma,906832
SIDM00831,Detroit562,Head and Neck,Head and Neck Carcinoma,906837
SIDM00861,ES-2,Ovary,Ovarian Carcinoma,1240128
SIDM00860,FADU,Head and Neck,Head and Neck Carcinoma,906863
SIDM00857,G-361,Skin,Melanoma,906865
SIDM00856,G-401,Kidney,Other Solid Cancers,907299
SIDM00855,G-402,Soft Tissue,Other Sarcomas,907298
SIDM00854,GA-10,Haematopoietic and Lymphoid,Burkitt's Lymphoma,1303896
SIDM00874,HCC1937,Breast,Breast Carcinoma,749714
SIDM00872,HCC1954,Breast,Breast Carcinoma,749709
SIDM00870,HCC202,Breast,Breast Carcinoma,1290906
SIDM00774,HCC2157,Breast,Breast Carcinoma,749715
SIDM00772,HCC2218,Breast,Breast Carcinoma,749716
SIDM00829,HL-60,Haematopoietic and Lymphoid,Acute Myeloid Leukemia,905938
SIDM00828,HT-1080,Soft Tissue,Other Sarcomas,907064
SIDM00785,KG-1,Haematopoietic and Lymphoid,Acute Myeloid Leukemia,907278
SIDM00776,LS-123,Large Intestine,Colorectal Carcinoma,907792
SIDM00751,NCI-H1563,Lung,Non-Small Cell Lung Carcinoma,753600
SIDM00771,NCI-H1792,Lung,Non-Small Cell Lung Carcinoma,724868
SIDM00755,NCI-H1793,Lung,Non-Small Cell Lung Carcinoma,908463
SIDM00769,NCI-H1838,Lung,Non-Small Cell Lung Carcinoma,687807
SIDM00763,NCI-H1915,Lung,Non-Small Cell Lung Carcinoma,1240184
SIDM00761,NCI-H196,Lung,Small Cell Lung Carcinoma,1240186
SIDM00759,NCI-H1975,Lung,Non-Small Cell Lung Carcinoma,924244
SIDM00756,NCI-H2009,Lung,Non-Small Cell Lung Carcinoma,724873
SIDM00753,NCI-H2023,Lung,Squamous Cell Lung Carcinoma,1240187
SIDM00779,NCI-H716,Large Intestine,Colorectal Carcinoma,908458
SIDM00820,RCC-ER,Kidney,Kidney Carcinoma,1524417
SIDM00818,RCC-JF,Kidney,Kidney Carcinoma,1524415
SIDM00817,RCC-JW,Kidney,Kidney Carcinoma,1524416
SIDM00835,SW1116,Large Intestine,Colorectal Carcinoma,909746
SIDM00812,SW1417,Large Intestine,Colorectal Carcinoma,909747
SIDM00834,SW1463,Large Intestine,Colorectal Carcinoma,909748
SIDM00841,SW620,Large Intestine,Colorectal Carcinoma,905962
SIDM00833,SW837,Large Intestine,Colorectal Carcinoma,909755
SIDM00815,UWB1.289,Ovary,Ovarian Carcinoma,1480374
SIDM00877,HCC1599,Breast,Breast Carcinoma,749713
SIDM01118,NCI-H740,Lung,Small Cell Lung Carcinoma,1331055
SIDM00982,42-MG-BA,Central Nervous System,Glioblastoma,687561
SIDM00983,647-V,Bladder,Bladder Carcinoma,906797
SIDM00903,A549,Lung,Non-Small Cell Lung Carcinoma,905949
SIDM00848,A673,Bone,Ewing's Sarcoma,684052
SIDM00850,AGS,Stomach,Gastric Carcinoma,906790
SIDM00898,AU565,Breast,Breast Carcinoma,910704
SIDM00899,AsPC-1,Pancreas,Pancreatic Carcinoma,910702
SIDM00896,BC-1,Haematopoietic and Lymphoid,B-Cell Non-Hodgkin's Lymphoma,910919
SIDM00987,BHT-101,Thyroid,Thyroid Gland Carcinoma,906696
SIDM00963,BT-474,Breast,Breast Carcinoma,946359
SIDM00892,BT-483,Breast,Breast Carcinoma,949093
SIDM00905,C-4-I,Cervix,Cervical Carcinoma,687506
SIDM00890,C32,Skin,Melanoma,906830
SIDM00907,CA46,Haematopoietic and Lymphoid,Burkitt's Lymphoma,910703
SIDM00941,CAKI-1,Kidney,Kidney Carcinoma,905963
SIDM00936,CAL-29,Bladder,Bladder Carcinoma,1290730
SIDM00931,CAL-62,Thyroid,Thyroid Gland Carcinoma,906828
SIDM00928,CAL-85-1,Breast,Breast Carcinoma,910852
SIDM00920,CAMA-1,Breast,Breast Carcinoma,946382
SIDM00934,CAPAN-1,Pancreas,Pancreatic Carcinoma,753624
SIDM01228,CHL-1,Skin,Melanoma,910853
SIDM00910,CHP-212,Peripheral Nervous System,Neuroblastoma,906820
SIDM00842,COLO-320-HSR,Large Intestine,Colorectal Carcinoma,910569
SIDM00957,COLO-678,Large Intestine,Colorectal Carcinoma,910689
SIDM00909,COLO-829,Skin,Melanoma,687448
SIDM00923,Ca-Ski,Cervix,Cervical Carcinoma,906824
SIDM00919,Caov-3,Ovary,Ovarian Carcinoma,906825
SIDM00918,Caov-4,Ovary,Ovarian Carcinoma,949090
SIDM00888,D-283MED,Central Nervous System,Other Solid Cancers,906834
SIDM00950,DAN-G,Pancreas,Pancreatic Carcinoma,1290797
SIDM00867,DBTRG-05MG,Central Nervous System,Glioblastoma,906835
SIDM00865,DMS-114,Lung,Small Cell Lung Carcinoma,687983
SIDM00981,DOHH-2,Haematopoietic and Lymphoid,B-Cell Non-Hodgkin's Lymphoma,906842
SIDM00864,DoTc2-4510,Cervix,Cervical Carcinoma,906843
SIDM00853,GCT,Soft Tissue,Other Sarcomas,906999
SIDM00852,H4,Central Nervous System,Glioma,907042
SIDM00885,HCC1187,Breast,Breast Carcinoma,749711
SIDM00875,HCC1806,Breast,Breast Carcinoma,907047
SIDM00968,Hey,Ovary,Ovarian Carcinoma,1479988
SIDM00967,OVCA420,Ovary,Ovarian Carcinoma,1480364
SIDM00966,OVCA433,Ovary,Ovarian Carcinoma,1480367
SIDM00844,Raji,Haematopoietic and Lymphoid,Burkitt's Lymphoma,909262
SIDM00975,WM278,Skin,Melanoma,1240226
SIDM00974,WM35,Skin,Melanoma,1299080
SIDM00940,CAL-120,Breast,Breast Carcinoma,906826
SIDM00997,8305C,Thyroid,Thyroid Gland Carcinoma,906795
SIDM00996,8505C,Thyroid,Thyroid Gland Carcinoma,924102
SIDM00986,BHY,Head and Neck,Head and Neck Carcinoma,753535
SIDM00962,BV-173,Haematopoietic and Lymphoid,Chronic Myelogenous Leukemia,910710
SIDM00961,CADO-ES1,Bone,Ewing's Sarcoma,753539
SIDM00939,CAL-12T,Lung,Non-Small Cell Lung Carcinoma,753540
SIDM00937,CAL-27,Head and Neck,Oral Cavity Carcinoma,910916
SIDM00942,CAL-33,Head and Neck,Oral Cavity Carcinoma,753541
SIDM00935,CAL-39,Vulva,Other Solid Cancers,924107
SIDM00932,CAL-54,Kidney,Kidney Carcinoma,910952
SIDM00929,CAL-78,Bone,Chondrosarcoma,1290765
SIDM00956,COLO-680N,Esophagus,Esophageal Squamous Cell Carcinoma,906817
SIDM00954,COLO-824,Breast,Breast Carcinoma,906812
SIDM00953,CPC-N,Lung,Small Cell Lung Carcinoma,753547
SIDM00943,CAPAN-2,Pancreas,Pancreatic Carcinoma,910915
SIDM00924,ChaGo-K-1,Lung,Other Solid Cancers,687596
SIDM00949,DEL,Haematopoietic and Lymphoid,T-Cell Non-Hodgkin's Lymphoma,906836
SIDM00969,DOV13,Ovary,Ovarian Carcinoma,1479987
SIDM00970,DSH1,Bladder,Bladder Carcinoma,753552
SIDM01007,KARPAS-45,Haematopoietic and Lymphoid,T-Lymphoblastic Leukemia,907272
SIDM01005,KASUMI-1,Haematopoietic and Lymphoid,Acute Myeloid Leukemia,907275
SIDM01009,KELLY,Peripheral Nervous System,Neuroblastoma,753618
SIDM01018,KM-H2,Haematopoietic and Lymphoid,Hodgkin's Lymphoma,909976
SIDM01024,KYSE-70,Esophagus,Esophageal Squamous Cell Carcinoma,753576
SIDM00925,NCI-H441,Lung,Non-Small Cell Lung Carcinoma,908460
SIDM00965,NCI-H446,Lung,Small Cell Lung Carcinoma,688023
SIDM00927,NCI-H510A,Lung,Small Cell Lung Carcinoma,753605
SIDM01000,WM-115,Skin,Melanoma,909784
SIDM00976,WM1552C,Skin,Melanoma,1299078
SIDM00973,WM793B,Skin,Melanoma,1299081
SIDM01013,JVM-2,Haematopoietic and Lymphoid,B-Cell Non-Hodgkin's Lymphoma,907269
SIDM01082,SCC-25,Head and Neck,Oral Cavity Carcinoma,910701
SIDM00999,639-V,Bladder,Bladder Carcinoma,906798
SIDM00998,8-MG-BA,Central Nervous System,Glioblastoma,687562
SIDM00995,A431,Skin,Other Solid Cancers,910925
SIDM00992,B-CPAP,Thyroid,Thyroid Gland Carcinoma,924104
SIDM00989,BFTC-905,Bladder,Bladder Carcinoma,910926
SIDM00988,BFTC-909,Kidney,Kidney Carcinoma,910698
SIDM01056,EFM-19,Breast,Breast Carcinoma,906851
SIDM01052,EFO-21,Ovary,Ovarian Carcinoma,911905
SIDM01047,EM-2,Haematopoietic and Lymphoid,Chronic Myelogenous Leukemia,906855
SIDM01042,EVSA-T,Breast,Breast Carcinoma,906862
SIDM01055,GAMG,Central Nervous System,Glioblastoma,906868
SIDM01073,HC-1,Haematopoietic and Lymphoid,Other Blood Cancers,907044
SIDM01071,HCC-33,Lung,Small Cell Lung Carcinoma,1303901
SIDM01067,HCC-827,Lung,Non-Small Cell Lung Carcinoma,1240146
SIDM01064,HDLM-2,Haematopoietic and Lymphoid,Hodgkin's Lymphoma,924110
SIDM01062,HDQ-P1,Breast,Breast Carcinoma,1290922
SIDM01060,IGR-1,Skin,Melanoma,907169
SIDM01066,IGR-37,Skin,Melanoma,1240153
SIDM01059,IPC-298,Skin,Melanoma,907171
SIDM01038,JEKO-1,Haematopoietic and Lymphoid,B-Cell Non-Hodgkin's Lymphoma,1327765
SIDM01015,JURL-MK1,Haematopoietic and Lymphoid,Chronic Myelogenous Leukemia,1327771
SIDM01012,JVM-3,Haematopoietic and Lymphoid,Other Blood Cancers,907270
SIDM01011,KARPAS-1106P,Haematopoietic and Lymphoid,B-Cell Non-Hodgkin's Lymphoma,1327773
SIDM01017,KARPAS-231,Haematopoietic and Lymphoid,B-Lymphoblastic Leukemia,1327774
SIDM01008,KARPAS-422,Haematopoietic and Lymphoid,B-Cell Non-Hodgkin's Lymphoma,907274
SIDM01003,KE-37,Haematopoietic and Lymphoid,T-Lymphoblastic Leukemia,907277
SIDM01019,KMOE-2,Haematopoietic and Lymphoid,Acute Myeloid Leukemia,907280
SIDM01032,KYSE-140,Esophagus,Esophageal Squamous Cell Carcinoma,753573
SIDM01031,KYSE-150,Esophagus,Esophageal Squamous Cell Carcinoma,907317
SIDM01030,KYSE-180,Esophagus,Esophageal Squamous Cell Carcinoma,907318
SIDM01028,KYSE-410,Esophagus,Esophageal Squamous Cell Carcinoma,753574
SIDM01027,KYSE-450,Esophagus,Esophageal Squamous Cell Carcinoma,907320
SIDM01026,KYSE-510,Esophagus,Esophageal Squamous Cell Carcinoma,907321
SIDM01025,KYSE-520,Esophagus,Esophageal Squamous Cell Carcinoma,753575
SIDM00926,NCI-H2172,Lung,Non-Small Cell Lung Carcinoma,1298353
SIDM01079,SH-4,Skin,Melanoma,909713
SIDM01078,SHP-77,Lung,Small Cell Lung Carcinoma,724872
SIDM01077,VCaP,Prostate,Prostate Carcinoma,1299075
SIDM01034,KOPN-8,Haematopoietic and Lymphoid,B-Lymphoblastic Leukemia,1330933
SIDM01020,KMS-12-BM,Haematopoietic and Lymphoid,Plasma Cell Myeloma,907281
SIDM01043,ESS-1,Endometrium,Other Sarcomas,907000
SIDM01041,FLO-1,Esophagus,Esophageal Carcinoma,1503361
SIDM01033,KU-19-19,Bladder,Bladder Carcinoma,907312
SIDM01076,697,Haematopoietic and Lymphoid,B-Lymphoblastic Leukemia,906800
SIDM01048,EJM,Haematopoietic and Lymphoid,Plasma Cell Myeloma,1297447
SIDM01040,FU-OV-1,Ovary,Ovarian Carcinoma,1240129
SIDM01036,JJN-3,Haematopoietic and Lymphoid,Plasma Cell Myeloma,1327766
SIDM01130,NCI-H520,Lung,Squamous Cell Lung Carcinoma,908443
SIDM01127,NCI-H596,Lung,Non-Small Cell Lung Carcinoma,908459
SIDM01125,NCI-H647,Lung,Non-Small Cell Lung Carcinoma,1240191
SIDM01126,NCI-H64,Lung,Small Cell Lung Carcinoma,688026
SIDM01124,NCI-H650,Lung,Non-Small Cell Lung Carcinoma,722066
SIDM01122,NCI-H661,Lung,Non-Small Cell Lung Carcinoma,687829
SIDM01121,NCI-H69,Lung,Small Cell Lung Carcinoma,688027
SIDM01120,NCI-H720,Lung,Other Solid Cancers,687600
SIDM01119,NCI-H727,Lung,Other Solid Cancers,724855
SIDM01117,NCI-H748,Lung,Small Cell Lung Carcinoma,909194
SIDM01116,NCI-H810,Lung,Non-Small Cell Lung Carcinoma,925341
SIDM01131,NCI-H82,Lung,Small Cell Lung Carcinoma,688031
SIDM01150,NCI-H838,Lung,Non-Small Cell Lung Carcinoma,910399
SIDM01134,NCI-H841,Lung,Small Cell Lung Carcinoma,1240192
SIDM01149,NCI-H847,Lung,Small Cell Lung Carcinoma,1240193
SIDM01148,NCI-H929,Haematopoietic and Lymphoid,Plasma Cell Myeloma,724825
SIDM01145,SNU-16,Stomach,Gastric Carcinoma,908446
SIDM01144,SNU-5,Stomach,Gastric Carcinoma,908445
SIDM01140,PA-1,Ovary,Ovarian Carcinoma,909255
SIDM01138,PANC-03-27,Pancreas,Pancreatic Carcinoma,925346
SIDM01092,RF-48,Haematopoietic and Lymphoid,B-Cell Non-Hodgkin's Lymphoma,909697
SIDM01089,RL,Haematopoietic and Lymphoid,B-Cell Non-Hodgkin's Lymphoma,910861
SIDM01085,RT4,Bladder,Bladder Carcinoma,687455
SIDM01083,SCC-15,Head and Neck,Oral Cavity Carcinoma,910911
SIDM01081,SCC-4,Head and Neck,Oral Cavity Carcinoma,910904
SIDM01080,SCC-9,Head and Neck,Oral Cavity Carcinoma,909709
SIDM01111,SK-ES-1,Bone,Ewing's Sarcoma,684072
SIDM01110,SK-HEP-1,Liver,Hepatocellular Carcinoma,909719
SIDM01109,SK-LMS-1,Soft Tissue,Other Sarcomas,909720
SIDM01107,SK-MEL-1,Skin,Melanoma,909723
SIDM01106,SK-MEL-24,Skin,Melanoma,909725
SIDM01105,SK-MEL-3,Skin,Melanoma,909724
SIDM01103,SK-MES-1,Lung,Squamous Cell Lung Carcinoma,909728
SIDM01101,SK-N-AS,Peripheral Nervous System,Neuroblastoma,724828
SIDM01100,SK-N-DZ,Peripheral Nervous System,Neuroblastoma,688086
SIDM01099,SK-N-FI,Peripheral Nervous System,Neuroblastoma,688087
SIDM01098,SK-N-SH,Peripheral Nervous System,Neuroblastoma,717431
SIDM01097,SK-PN-DW,Central Nervous System,Other Solid Cancers,909731
SIDM01093,SiHa,Cervix,Cervical Carcinoma,930297
SIDM01182,UM-UC-3,Bladder,Bladder Carcinoma,724838
SIDM01218,JEG-3,Placenta,Other Solid Cancers,907176
SIDM01132,PFSK-1,Central Nervous System,Other Solid Cancers,683667
SIDM01104,SK-MEL-31,Skin,Melanoma,909727
SIDM01180,SNU-387,Liver,Hepatocellular Carcinoma,909736
SIDM01001,DU-4475,Breast,Breast Carcinoma,906844
SIDM01057,GDM-1,Haematopoietic and Lymphoid,Acute Myeloid Leukemia,906870
SIDM01210,KNS-81-FD,Central Nervous System,Glioblastoma,924188
SIDM01220,LNZTA3WT4,Central Nervous System,Glioma,1240170
SIDM01217,MY-M12,Haematopoietic and Lymphoid,Other Blood Cancers,1330960
SIDM01133,NCI-H835,Lung,Other Solid Cancers,753607
SIDM01147,NCI-N87,Stomach,Gastric Carcinoma,908461
SIDM01141,OV-90,Ovary,Ovarian Carcinoma,1240197
SIDM01096,SK-CO-1,Large Intestine,Colorectal Carcinoma,909718
SIDM01181,SNU-398,Liver,Hepatocellular Carcinoma,1240217
SIDM01194,SNU-449,Liver,Hepatocellular Carcinoma,909738
SIDM01197,SNU-C1,Large Intestine,Colorectal Carcinoma,910905
SIDM01198,ST486,Haematopoietic and Lymphoid,Burkitt's Lymphoma,910906
SIDM01188,SU8686,Pancreas,Pancreatic Carcinoma,1240218
SIDM01176,SUP-B15,Haematopoietic and Lymphoid,B-Lymphoblastic Leukemia,1247871
SIDM01177,SUP-B8,Haematopoietic and Lymphoid,B-Lymphoblastic Leukemia,910209
SIDM01154,SUP-T1,Haematopoietic and Lymphoid,T-Lymphoblastic Leukemia,909743
SIDM01155,SW1088,Central Nervous System,Glioma,909745
SIDM01162,SW156,Kidney,Kidney Carcinoma,1240220
SIDM01165,SW1990,Pancreas,Pancreatic Carcinoma,910907
SIDM01175,SW684,Soft Tissue,Other Sarcomas,909754
SIDM01174,SW756,Cervix,Cervical Carcinoma,724839
SIDM01160,SW780,Bladder,Bladder Carcinoma,687457
SIDM01157,SW954,Vulva,Other Solid Cancers,924247
SIDM01178,SW962,Vulva,Other Solid Cancers,909758
SIDM01161,SW982,Soft Tissue,Other Sarcomas,909759
SIDM01084,Saos-2,Bone,Osteosarcoma,909707
SIDM01184,T24,Bladder,Bladder Carcinoma,724812
SIDM01171,T98G,Central Nervous System,Glioblastoma,687586
SIDM01190,TCCSUP,Bladder,Bladder Carcinoma,687459
SIDM01173,TE-441-T,Soft Tissue,Rhabdomyosarcoma,924248
SIDM01172,THP-1,Haematopoietic and Lymphoid,Acute Myeloid Leukemia,909771
SIDM01170,TOV-112D,Ovary,Ovarian Carcinoma,1299070
SIDM01193,U-118-MG,Central Nervous System,Glioma,687588
SIDM01189,U-87-MG,Central Nervous System,Glioblastoma,687590
SIDM01187,UACC-812,Breast,Breast Carcinoma,910910
SIDM01186,UACC-893,Breast,Breast Carcinoma,909778
SIDM01179,VA-ES-BJ,Soft Tissue,Other Sarcomas,688121
SIDM00048,EMC-BAC-1,Lung,Non-Small Cell Lung Carcinoma,1503369
SIDM00047,EMC-BAC-2,Lung,Non-Small Cell Lung Carcinoma,1503370
SIDM00045,HSC-39,Stomach,Gastric Carcinoma,1322224
SIDM00044,PCI-30,Head and Neck,Head and Neck Carcinoma,1298529
SIDM00043,PCI-4B,Head and Neck,Head and Neck Carcinoma,1298531
SIDM00042,PL4,Pancreas,Pancreatic Carcinoma,1298533
SIDM00816,RCC-MF,Kidney,Kidney Carcinoma,1524419
SIDM00023,TE-12,Esophagus,Esophageal Squamous Cell Carcinoma,946356
SIDM00051,CHSA0011,Bone,Chondrosarcoma,1290767
SIDM00793,EB-3,Haematopoietic and Lymphoid,Burkitt's Lymphoma,906847
SIDM00280,ECC10,Stomach,Gastric Carcinoma,906848
SIDM00367,SBC-3,Lung,Small Cell Lung Carcinoma,753610
SIDM01095,SJRH30,Soft Tissue,Rhabdomyosarcoma,909716
SIDM00041,STS-0421,Stomach,Gastric Carcinoma,1299061
SIDM00040,TMK-1,Stomach,Gastric Carcinoma,1299069
SIDM00120,DU-145,Prostate,Prostate Carcinoma,905935
SIDM00126,K2,Skin,Melanoma,1298160
SIDM00082,SK-MEL-2,Skin,Melanoma,905955
SIDM00079,SK-OV-3,Ovary,Ovarian Carcinoma,905959
SIDM00142,COLO-684,Endometrium,Endometrial Carcinoma,910691
SIDM00151,IGROV-1,Ovary,Ovarian Carcinoma,905968
SIDM00150,KM12,Large Intestine,Colorectal Carcinoma,905989
SIDM00187,LB1047-RCC,Kidney,Kidney Carcinoma,753577
SIDM00145,MOLT-4,Haematopoietic and Lymphoid,T-Lymphoblastic Leukemia,905958
SIDM00718,NCI-H358,Lung,Non-Small Cell Lung Carcinoma,908465
SIDM00241,OCUB-M,Breast,Breast Carcinoma,909256
SIDM00238,OVK-18,Ovary,Ovarian Carcinoma,1480371
SIDM00214,SNU-407,Large Intestine,Colorectal Carcinoma,1660034
SIDM00251,TGBC11TKB,Stomach,Gastric Carcinoma,909770
SIDM00282,CW-2,Large Intestine,Colorectal Carcinoma,910554
SIDM00327,L-428,Haematopoietic and Lymphoid,Hodgkin's Lymphoma,907322
SIDM00364,P30-OHK,Haematopoietic and Lymphoid,B-Lymphoblastic Leukemia,909252
SIDM00399,SCC90,Head and Neck,Head and Neck Carcinoma,1299052
SIDM00320,VMRC-LCD,Lung,Non-Small Cell Lung Carcinoma,713869
SIDM00473,PE-CA-PJ15,Head and Neck,Oral Cavity Carcinoma,1240207
SIDM00487,CCK-81,Large Intestine,Colorectal Carcinoma,1240123
SIDM00333,MFE-319,Endometrium,Endometrial Carcinoma,1240174
SIDM00438,MN-60,Haematopoietic and Lymphoid,B-Lymphoblastic Leukemia,908143
SIDM00447,REH,Haematopoietic and Lymphoid,B-Lymphoblastic Leukemia,909696
SIDM00560,MKN7,Stomach,Gastric Carcinoma,924250
