DRUG_ID,DRUG_NAME,split,moa_class
1388,chlorquinaldol,train,Other
1501,sevelamer,test,Other
709,clonazepam,train,Other
568,thiocolchicoside,train,Other
1279,estrone,test,Other
1363,naltrexone,train,Other
876,cabozantinib,train,Other
531,nilutamide,train,Other
187,camylofine-chlorhydrate,train,Other
38,mesoridazine,train,Other
1195,oseltamivir-phosphate,val,Other
89,oxprenolol,train,Other
1172,nizatidine,train,Other
60,narasin,val,Other
1384,tepoxalin,train,Other
635,temozolomide,train,alkylating
71,bicalutamide,train,Other
1490,hexachlorophene,train,Other
1403,triamterene,train,Other
658,cimetidine,train,Other
219,nitisinone,val,Other
1111,sertindole,val,Other
608,chlorambucil,train,Other
1139,fludarabine-phosphate,train,Other
184,eptifibatide,val,Other
1149,vidarabine,train,Other
620,docetaxel,val,taxane
671,gimeracil,train,Other
656,clofarabine,train,Other
251,raclopride,train,Other
227,olaparib,train,Other
705,etoposide,train,topo2_inhibitor
425,clotrimazole,train,Other
1493,bosutinib,val,Other
6,metoprolol,train,Other
286,cabazitaxel,val,taxane
1084,eprosartan,test,Other
879,hydroxyurea,test,Other
823,trometamol,train,Other
1360,melphalan,test,Other
560,josamycin,train,Other
540,deoxycorticosterone-acetate,test,Other
1397,mercaptopurine,test,Other
1312,nelarabine,val,Other
186,estradiol-cypionate,train,Other
252,oxcarbazepine,train,Other
150,sulconazole,test,Other
1236,suxibuzone,train,Other
508,xylazine,train,Other
1125,riboflavin,train,Other
685,cyromazine,train,Other
149,secnidazole,train,Other
992,capecitabine,test,antimetabolite
590,flutamide,test,Other
274,posaconazole,val,Other
1086,palmitoylethanolamide,train,Other
1114,vinorelbine,train,vinca_alkaloid
1009,paclitaxel,train,taxane
1364,pyrimethamine,train,Other
1126,ibrutinib,train,BTK_inhibitor
382,artemisinin,train,Other
570,imiquimod,train,Other
337,clobetasol-propionate,train,Other
57,aminoglutethimide,train,Other
614,clomifene,train,Other
74,mozavaptan,train,Other
1484,genz-644282,train,Other
1301,FK-888,train,Other
727,triptolide,train,Other
1100,SB-743921,train,Other
253,favipiravir,train,Other
1106,flumatinib,train,Other
1142,SNX-2112,train,Other
1144,GDC-0068,train,Other
308,gambogic-acid,val,Other
589,spiradoline,train,Other
489,R406,train,Other
1200,BMS-690514,train,Other
247,foretinib,val,Other
1487,tanaproget,train,Other
1460,tezacaftor,train,Other
369,CX-5461,test,Other
948,BW-180C,train,Other
469,dalcetrapib,train,Other
551,apatinib,train,Other
1070,MK-3207,train,Other
107,palomid-529,train,Other
872,meglitinide,test,Other
1027,tipifarnib,train,Other
1044,Ro-4987655,train,Other
299,danusertib,train,Other
1448,brequinar,test,Other
1340,AZD7762,train,Other
1417,tirapazamine,val,Other
880,P276-00,test,Other
410,berberine,train,Other
372,dapivirine,train,Other
398,midostaurin,train,Other
1409,tosedostat,train,Other
1471,BMS-626529,train,Other
893,GDC-0941,train,Other
473,pacritinib,test,Other
622,UNBS-5162,train,Other
718,ganetespib,train,Other
1486,PF-562271,train,Other
787,2-methoxyestradiol,test,Other
1132,BAY-87-2243,train,Other
926,orantinib,train,Other
1161,CEP-37440,train,Other
264,LY2334737,train,Other
743,SC-12267,train,Other
890,TAK-715,val,Other
297,VX-702,test,Other
96,buthionine-sulfoximine,train,Other
1019,lerisetron,train,Other
802,anguidine,train,Other
95,iododexetimide,train,Other
1481,AZD2014,test,Other
1192,tioguanine,train,Other
1456,harringtonine,train,Other
135,DPI-201106,train,Other
878,ilomastat,train,Other
882,BIIB021,train,Other
477,gossypol,val,Other
1051,AMG-232,val,Other
435,evacetrapib,train,Other
859,canertinib,test,EGFR_inhibitor
909,MK-1775,train,Other
528,broxyquinoline,train,Other
804,ARRY-334543,train,Other
344,tazemetostat,train,Other
478,FR-139317,train,Other
200,nisoxetine,train,Other
1399,ABT-751,train,Other
1176,indibulin,train,Other
1429,PF-04136309,test,Other
572,VX-765,train,Other
1186,SCH-900776,test,Other
894,pterostilbene,train,Other
774,BMS-387032,train,Other
1064,cinromide,train,Other
982,GSK1292263,test,Other
1136,BIBX-1382,train,Other
1283,elesclomol,test,Other
243,roquinimex,val,Other
97,ecamsule-triethanolamine,train,Other
1295,doxercalciferol,train,Other
290,dexrazoxane,train,Other
351,carmofur,train,Other
1174,cinacalcet,train,Other
385,pentamidine,test,Other
166,leucovorin,train,Other
393,everolimus,test,mTOR_inhibitor
103,oxazepam,train,Other
1339,terconazole,train,Other
456,eprobemide,test,Other
2,prednisolone-acetate,train,Other
766,acetophenazine,val,Other
1310,candesartan,train,Other
233,sulfanilamide,train,Other
744,parachlorophenol,test,Other
430,piperacetazine,train,Other
672,sodium-glucoheptonate,train,Other
127,quinethazone,test,Other
1348,phenelzine,train,Other
177,mephenytoin,train,Other
971,levocarnitine,train,Other
1316,riociguat,train,Other
332,dabrafenib,val,BRAF_inhibitor
503,riluzole,train,Other
346,alectinib,train,ALK_inhibitor
50,itraconazole,train,Other
172,fenoprofen,train,Other
463,nafcillin,val,Other
217,famotidine,train,Other
338,phenylbutazone,test,Other
339,tiludronate,train,Other
209,colchicine,test,Other
526,busulfan,val,Other
538,abiraterone-acetate,train,CYP17_inhibitor
666,ciclesonide,train,Other
420,papaverine,test,Other
773,daunorubicin,train,Other
887,chlorhexidine,train,Other
1092,amsacrine,train,Other
870,palbociclib,train,CDK4_6_inhibitor
1293,daclatasvir,train,Other
101,ciprofibrate,test,Other
1116,idarubicin,train,Other
483,creatine,test,Other
606,thiram,test,Other
1368,iproniazid,val,Other
79,buphenine,train,Other
66,prednisolone,train,Other
81,colistin-b-sulfate,train,Other
99,ajmaline,test,Other
1069,oxyquinoline,train,Other
1416,cefpiramide,train,Other
665,methylprednisolone,test,Other
1030,epinephrine,train,Other
72,tiletamine,val,Other
9,terfenadine,val,Other
1062,afatinib,train,EGFR_inhibitor
1323,pilocarpine,train,Other
904,ruxolitinib,train,Other
511,mitoxantrone,train,Other
147,minocycline,train,Other
26,nadide,test,Other
236,clofoctol,train,Other
22,propranolol,train,Other
1470,beclomethasone-dipropionate,val,Other
871,fenbendazole,test,Other
1076,naloxone,train,Other
334,sulfasalazine,val,Other
825,ethinyl-estradiol,train,Other
348,aspirin,test,Other
459,propoxycaine,test,Other
1234,pentagastrin,train,Other
1,noretynodrel,train,Other
3,betamethasone,train,Other
386,piperazine,test,Other
1327,ramifenazone,train,Other
106,meclizine,train,Other
809,phenazone,train,Other
794,clofibrate,train,Other
905,remoxipride,train,Other
681,dolutegravir,test,Other
1040,gefitinib,train,EGFR_inhibitor
840,dasatinib,test,BCR_ABL_inhibitor
1072,altretamine,train,Other
661,streptozotocin,train,Other
53,nadifloxacin,val,Other
1492,hexylresorcinol,train,Other
1158,benzethonium,train,Other
781,iobenguane,test,Other
325,lovastatin,train,Other
258,octenidine,val,Other
40,isoxsuprine,val,Other
1284,pyritinol,test,Other
742,lacitol,train,Other
818,dexamethasone-acetate,train,Other
939,enzalutamide,val,AR_antagonist
189,triamcinolone-acetonide,train,Other
710,bumetanide,test,Other
793,famciclovir,train,Other
584,nomegestrol-acetate,train,Other
1500,tyloxapol,train,Other
1358,istradefylline,train,Other
126,selamectin,test,Other
981,niacin,train,Other
932,vemurafenib,val,BRAF_inhibitor
978,tiagabine,train,Other
988,idelalisib,test,PI3K_inhibitor
1450,adefovir-dipivoxil,val,Other
1138,dorzolamide,train,Other
962,naproxen,val,Other
1300,chloropyramine,test,Other
119,omeprazole,val,Other
987,paricalcitol,val,Other
1146,D-Serine,test,Other
1242,decitabine,train,Other
746,cyproterone-acetate,train,Other
1410,mycophenolate-mofetil,train,Other
1043,ulipristal,train,Other
1190,benzocaine,val,Other
194,digitoxin,test,Other
20,cyclophosphamide,test,alkylating
1457,chloramphenicol-palmitate,test,Other
868,fluoromethylcholine,test,Other
111,prednisolone-tebutate,test,Other
113,lanoconazole,test,Other
28,proscillaridin-a,train,Other
1187,carbachol,val,Other
312,thioproperazine,train,Other
647,exemestane,test,aromatase_inhibitor
1422,hydrocortisone,train,Other
1035,mycophenolic-acid,train,Other
144,BTS-54505,train,Other
142,naftidrofuryl,train,Other
1194,pitavastatin,train,Other
861,capsaicin,train,Other
849,etofylline-clofibrate,val,Other
136,isometheptene-mucate,val,Other
85,practolol,train,Other
445,clebopride,train,Other
708,clocortolone-pivalate,test,Other
256,epirubicin,train,anthracycline
1037,raloxifene,train,Other
910,monobenzone,train,Other
1222,mebendazole,train,Other
669,dacarbazine,train,Other
75,methocarbamol,train,Other
82,ketoconazole,train,Other
1419,cladribine,test,Other
12,monensin,test,Other
1133,ranitidine,train,Other
83,rabeprazole,train,Other
1104,lidamidine,train,Other
1405,norethindrone,train,Other
1128,aripiprazole,test,Other
969,ubenimex,train,Other
664,levonorgestrel,train,Other
1025,PD-98059,train,Other
950,hesperadin,test,Other
37,IDRA-21,train,Other
1103,ACDPP,train,Other
396,pepstatin,train,Other
1472,SIB-1757,test,Other
76,homosalate,train,Other
701,SB-525334,train,Other
1342,embelin,test,Other
154,SKF-96365,train,Other
645,ouabain,train,Other
875,taurine,train,Other
885,anastrozole,val,aromatase_inhibitor
55,isoetharine,train,Other
949,thiostrepton,train,Other
698,GSK256066,train,Other
1315,radezolid,train,Other
846,BMS-707035,train,Other
390,AT-7519,train,Other
542,AT-9283,train,Other
886,R547,val,Other
888,tacedinaline,train,Other
1330,sobetirome,test,Other
1269,CX-4945,train,Other
1032,semaxanib,test,Other
1011,AVN-944,train,Other
481,SB-242235,train,Other
329,forskolin,train,Other
578,AST-1306,train,Other
457,fdcyd,train,Other
524,odanacatib,train,Other
494,bardoxolone,train,Other
1057,serdemetan,train,Other
1433,telotristat-ethyl,val,Other
748,CUDC-101,test,Other
600,resminostat,train,Other
612,hypericin,train,Other
378,acivicin,test,Other
1085,MK-2206,train,Other
1357,cyt387,train,Other
699,MRS-1220,train,Other
197,bucladesine,train,Other
320,zolantidine,train,Other
922,AM-404,train,Other
160,CGP-54626,train,Other
359,AT7867,test,Other
1231,SCS,test,Other
90,clobutinol,train,Other
1170,dimethisoquin,train,Other
937,nitarsone,train,Other
165,lomefloxacin,train,Other
185,eprinomectin,train,Other
778,defactinib,train,Other
1303,NMS-1286937,train,Other
474,mubritinib,test,Other
1333,refametinib,train,Other
1496,cromakalim,train,Other
132,sangivamycin,test,Other
108,hypoestoxide,train,Other
527,GDC-0980,test,Other
1276,VTP-27999,train,Other
1439,PFK-015,train,Other
1023,RU-58841,train,Other
690,fexinidazole,train,Other
807,KP-1212,train,Other
918,alpelisib,train,PI3K_inhibitor
24,imiloxan,test,Other
488,sonidegib,train,Other
925,latrepirdine,train,Other
314,3-amino-benzamide,train,Other
892,epothilone-d,train,Other
1110,golvatinib,train,Other
1359,AVL-292,train,Other
433,mocetinostat,train,Other
115,k-strophanthidin,train,Other
1305,JNJ-26481585,train,Other
1306,MLN-8054,val,Other
361,NVP-BEZ235,train,Other
963,MLN0128,train,Other
421,obatoclax,train,BCL2_inhibitor
287,BMS-599626,train,Other
1105,PF-03814735,train,Other
711,narlaprevir,test,Other
938,Y-39983,val,Other
1120,volasertib,train,Other
1154,AZD5438,test,Other
927,AP26113,train,Other
989,PHA-848125,train,Other
1108,GDC-0152,val,Other
1286,navitoclax,train,BCL2_inhibitor
1101,12-O-tetradecanoylphorbol-13-acetate,val,Other
208,adarotene,train,Other
5,XL888,train,Other
1097,ENMD-2076,train,Other
1258,SGI-1776,train,Other
231,RG2833,train,Other
291,PF-04691502,val,Other
1047,CYC116,train,Other
729,ADL5859,train,Other
1119,mericitabine,val,Other
615,KX2-391,test,Other
1145,SNS-314,train,Other
1038,barasertib-HQPA,train,Other
627,AZD9668,train,Other
695,filanesib,train,Other
1121,AZD8055,train,Other
237,PF-477736,train,Other
407,FG-4592,train,Other
1378,tandutinib,train,Other
156,peruvoside,test,Other
554,GSK2110183,train,Other
532,voreloxin,train,Other
657,tanshinone-i,train,Other
411,GW-501516,train,Other
679,asymmetrical-dimethylarginine,train,Other
553,OSI-930,train,Other
1117,bardoxolone-methyl,train,Other
1407,exatecan-mesylate,train,Other
633,barasertib,train,Other
1082,pevonedistat,val,Other
1088,epothilone-b,train,Other
954,AT13387,test,Other
1087,CGS-20625,test,Other
1093,ZK-93426,test,Other
1220,entinostat,train,Other
1169,PF-04217903,train,Other
990,rucinol,train,Other
1134,HMN-214,train,Other
964,delanzomib,test,Other
1208,CP-724714,test,Other
751,lonafarnib,train,Other
1426,quizartinib,train,Other
13,isofloxythepin,val,Other
1141,birinapant,train,Other
1479,AZD5363,train,Other
594,AZD4547,test,Other
84,teroxirone,train,Other
703,PF-03758309,train,Other
120,LGX818,train,Other
1489,linifanib,train,Other
604,BVD-523,test,Other
376,BMS-754807,train,Other
1123,vatalanib,train,Other
575,GW-842166,train,Other
1140,KD-023,train,Other
1365,KD025,train,Other
571,TAK-733,train,Other
267,WP1066,train,Other
1343,SB-939,train,Other
901,MK-5108,train,Other
1205,YM-155,val,Other
62,zaldaride,train,Other
557,LY2784544,train,Other
957,FK-866,train,Other
1361,alvocidib,train,Other
713,uprosertib,test,Other
518,crenolanib,train,Other
505,marimastat,train,Other
400,bitopertin,test,Other
54,warfarin,test,Other
908,halofuginone,train,Other
983,brilliant-green,test,Other
305,chlorpyrifos,train,Other
25,carvedilol,train,Other
471,estradiol,train,Other
1052,7-aminocephalosporanic-acid,train,Other
198,digoxin,train,Other
1425,taltirelin,train,Other
1387,spironolactone,train,Other
161,ibutilide,train,Other
268,dronedarone,test,Other
328,mibefradil,train,Other
852,baicalin,test,Other
212,trovafloxacin,test,Other
311,ramatroban,train,Other
548,5-fluorouracil,train,antimetabolite
1469,theophylline,train,Other
33,fluorometholone,train,Other
19,norethindrone-acetate,train,Other
196,nicotine,train,Other
1226,menadione,train,Other
15,racecadotril,test,Other
617,torasemide,train,Other
1466,chlorpropamide,test,Other
1074,iodipamide,train,Other
582,butamben,train,Other
105,terbutaline,train,Other
1099,dicycloverine,val,Other
112,butylscopolamine-bromide,test,Other
1068,fludarabine,test,Other
389,thonzonium,train,Other
128,amisulpride,train,Other
306,sarafloxacin,train,Other
11,diclazuril,train,Other
841,thioguanine,val,Other
1012,anagrelide,train,Other
631,levobunolol,train,Other
1181,azithromycin,train,Other
46,atenolol-(+/-),test,Other
515,loxistatin-acid,test,Other
191,trimebutine,test,Other
203,ketoprofen,train,Other
583,calcitriol,train,Other
164,clenbuterol,train,Other
555,maprotiline,test,Other
507,sufentanil,train,Other
1204,homoharringtonine,train,Other
202,pindolol,train,Other
736,crizotinib-(S),train,ALK_inhibitor
7,methscopolamine,train,Other
537,sorafenib,train,multikinase_inhibitor
1495,nemonapride,train,Other
340,latanoprost,train,Other
39,norgestrel,train,Other
1213,vandetanib,train,Other
170,bendroflumethiazide,train,Other
1185,bosentan,train,Other
169,midodrine,train,Other
1408,lomitapide,train,Other
292,benfotiamine,test,Other
1238,albendazole,train,Other
42,trolox,train,Other
790,vismodegib,train,Other
1434,chromocarb,test,Other
732,bisacodyl,train,Other
613,axitinib,train,Other
67,salinomycin,train,Other
865,tropisetron,train,Other
229,panobinostat,train,Other
660,imidapril,train,Other
821,bephenium-hydroxynaphthoate,test,Other
764,sunitinib,test,multikinase_inhibitor
1446,deflazacort,train,Other
102,fludroxycortide,val,Other
139,ifosfamide,train,alkylating
98,mitomycin-c,val,Other
349,teprenone,train,Other
1054,avanafil,train,Other
715,diazooxonorleucine,train,Other
1000,thiomersal,train,Other
1441,trapidil,train,Other
1255,triciribine,train,Other
206,paliperidone,train,Other
1382,SN-38,train,Other
221,rifampin,train,Other
63,formestane,train,Other
673,niclosamide,train,Other
43,lenalidomide,test,Other
140,lafutidine,train,Other
951,betamethasone-dipropionate,train,Other
246,azacitidine,test,Other
442,bendamustine,train,Other
1362,piretanide,test,Other
429,oxymetazoline,train,Other
1033,temoporfin,train,Other
1288,batimastat,train,Other
581,levocetirizine,test,Other
1480,felbamate,test,Other
1331,ivermectin,val,Other
486,lapatinib,train,EGFR_inhibitor
1196,guanidine,test,Other
1150,cefditoren-pivoxil,val,Other
866,cobicistat,train,Other
1435,talazoparib,val,Other
1294,ACY-1215,train,Other
466,bifemelane,train,Other
765,temsirolimus,val,mTOR_inhibitor
903,PRT062607,val,Other
454,tranilast,test,Other
873,toremifene,test,Other
1421,diphemanil,val,Other
586,cyclovirobuxin-d,train,Other
343,norfloxacin,train,Other
1413,zaleplon,train,Other
1229,crizotinib,train,ALK_inhibitor
1352,norepinephrine,test,Other
602,genipin,val,Other
270,PSI-7976,test,Other
1412,bexarotene,train,Other
704,afobazole,train,Other
1177,naftifine,train,Other
519,simvastatin,val,Other
1321,sirolimus,test,mTOR_inhibitor
1385,raltitrexed,train,Other
889,lidocaine,val,Other
857,abiraterone,train,CYP17_inhibitor
862,oxiracetam,test,Other
786,ponatinib,train,Other
257,4-pyrimidinecarbonitrile,train,Other
16,doxycycline,train,Other
423,cefdinir,test,Other
914,artesunate,test,Other
100,methacycline,val,Other
1458,10-deacetylbaccatin,train,Other
1428,fluocinolone-acetonide,test,Other
1218,3-deazaneplanocin-A,test,Other
1383,vincamine,val,Other
1371,letrozole,test,aromatase_inhibitor
1483,ftorafur,train,Other
1308,alvespimycin,train,Other
883,metronidazole,train,Other
1171,bekanamycin,train,Other
1065,fluvastatin,val,Other
443,chloroxine,train,Other
693,mifepristone,test,Other
860,fenofibrate,train,Other
493,rutin,test,Other
109,halofantrine,train,Other
813,chlorogenic-acid,train,Other
1414,imatinib,train,BCR_ABL_inhibitor
403,ritodrine,train,Other
1239,nimorazole,train,Other
1467,nicorandil,train,Other
506,desonide,train,Other
1401,ZK811752,train,Other
812,cetrimonium,train,Other
1020,aztreonam,test,Other
837,prazosin,train,Other
741,AEE788,train,Other
770,GDC-0349,test,Other
399,dinaciclib,train,Other
561,licochalcone-a,train,Other
580,metatinib,test,Other
611,MK-8245,test,Other
1317,sodium-tanshinone-ii-a-sulfonate,test,Other
791,taselisib,train,Other
559,PRT062070,train,Other
367,TG-101348,train,Other
836,nintedanib,val,Other
1053,nefiracetam,train,Other
1260,INC-280,train,Other
143,pranidipine,train,Other
1320,IOWH032,train,Other
1167,4-methylgenistein,train,Other
955,palmatine-chloride,train,Other
168,prednisolone-hemisuccinate,val,Other
282,nobiletin,train,Other
1380,RG108,train,Other
1026,BMS-265246,train,Other
1447,azalomycin-b,train,Other
1418,PAC-1,train,Other
145,evodiamine,test,Other
1240,PF-573228,val,Other
1002,SB-366791,train,Other
1349,azodicarbonamide,train,Other
1179,se-methylselenocysteine,test,Other
157,adaprev,test,Other
530,benzyldimethylhexadecylammonium,train,Other
1214,AEG3482,test,Other
277,ryuvidine,train,Other
259,YO-01027,test,Other
35,TC1,train,Other
1059,salidroside,train,Other
223,chlorindanol,train,Other
298,aminopurvalanol-a,train,Other
159,nanchangmycin,train,Other
588,cyproheptadine,train,Other
1291,repaglinide,test,Other
762,osimertinib,train,EGFR_inhibitor
650,abemaciclib,train,CDK4_6_inhibitor
900,baricitinib,train,Other
728,SDZ-WAG-994,train,Other
1485,plinabulin,train,Other
1050,BI-2536,test,Other
78,bruceantin,train,Other
1298,CI-844,train,Other
1318,almorexant,train,Other
1215,CUDC-907,train,Other
850,PD-0325901,train,Other
896,tivozanib,test,Other
779,CP-673451,test,Other
122,PD-318088,val,Other
761,epiandrosterone,train,Other
52,sclareol,train,Other
831,S26948,test,Other
1107,cephalomannine,test,Other
754,tioxolone,train,Other
680,I-BET151,train,Other
87,melengestrol-acetate,train,Other
702,dioscin,train,Other
460,spermine,test,Other
1389,GW-843682X,test,Other
360,LY2608204,train,Other
357,ER-27319,train,Other
654,GW-3965,train,Other
816,LY2109761,test,Other
676,WAY-170523,train,Other
1431,ICG-001,train,Other
514,AMG458,train,Other
1081,rheochrysidin,test,Other
677,broxaldine,train,Other
544,phlorizin,train,Other
663,parthenolide-(-),train,Other
1253,uracil,test,Other
867,lurasidone,val,Other
651,difluprednate,test,Other
829,methyldopa,train,Other
1265,maxacalcitol,test,Other
1309,nizofenone,train,Other
1056,halobetasol-propionate,test,Other
1261,azilsartan,train,Other
1282,amfenac,test,Other
417,penfluridol,val,Other
653,valnemulin,train,Other
179,clopamide,train,Other
32,pomalidomide,train,Other
47,canrenone,train,Other
1453,metaraminol,train,Other
851,mesna,test,Other
29,lorazepam,train,Other
415,gemcitabine,val,antimetabolite
416,carfilzomib,train,Other
17,doxycycline,test,Other
1182,pazopanib,test,Other
776,acetazolamide,train,Other
731,lenvatinib,train,Other
254,drospirenone,train,Other
1217,dequalinium,train,Other
724,atipamezole,val,Other
487,eplerenone,train,Other
845,alfacalcidol,train,Other
911,zolmitriptan,train,Other
302,tetrandrine,val,Other
915,fudosteine,train,Other
377,uridine,test,Other
1423,tamoxifen,train,ER_modulator
1442,darifenacin,train,Other
239,trifluridine,train,Other
1430,mevastatin,train,Other
296,sparfloxacin,train,Other
771,polydatin,train,Other
1443,thiamine,train,Other
919,amoxicillin,train,Other
1462,dihydroergocristine,test,Other
1464,gestrinone,train,Other
1247,inosine,train,Other
916,equol,train,Other
1449,cidofovir,train,Other
1272,nilotinib,train,Other
178,meloxicam,train,Other
952,doxifluridine,train,Other
388,ebastine,train,Other
1280,triclabendazole,test,Other
1001,flumethasone,train,Other
891,dirithromycin,test,Other
1369,nonoxynol-9,train,Other
365,trametinib,train,MEK_inhibitor
358,tipiracil,val,Other
712,domperidone,train,Other
1203,idoxuridine,train,Other
92,indoprofen,train,Other
820,podophyllotoxin,train,Other
295,curcumin,train,Other
534,oridonin,test,Other
610,ziprasidone,train,Other
1024,cholecalciferol,train,Other
597,benzydamine,train,Other
1006,fleroxacin,test,Other
86,teriflunomide,test,Other
630,icotinib,val,Other
1424,ingenol-mebutate,train,Other
224,triapine,train,Other
1459,deferasirox,test,Other
190,danazol,val,Other
374,ciclopirox,train,Other
739,eltrombopag,train,Other
1212,triamcinolone,train,Other
884,oxibendazole,train,Other
1345,dofetilide,train,Other
984,ribavirin,train,Other
193,temazepam,train,Other
1270,tanespimycin,train,Other
634,enocitabine,train,Other
726,nithiamide,test,Other
1060,CPP,test,Other
201,colfosceril-palmitate,train,Other
183,CGP-37849,train,Other
577,costunolide,test,Other
1445,SRT1720,train,Other
1147,epothilone-a,train,Other
843,PIK-75,test,Other
539,VU0238429,test,Other
798,VU0361737,test,Other
1302,skepinone-l,test,Other
811,BAN-ORL-24,train,Other
827,CNX-774,train,Other
424,maytansinol-isobutyrate,test,Other
204,"hydroxytacrine-maleate-(r,s)",test,Other
520,LY303511,val,Other
222,dihydromyricetin,test,Other
1198,JIB04,train,Other
1191,GS-39783,train,Other
1189,KPT-276,train,Other
1022,G-1,val,Other
1355,LY456236,train,Other
335,GW-405833,train,Other
834,CGS-15943,train,Other
1155,WZ-4002,train,Other
195,PETCM,train,Other
1153,baicalein,train,Other
238,NSC-663284,train,Other
828,YM-201636,test,Other
806,acetylsalicylsalicylic-acid,train,Other
1243,NVP-BHG712,train,Other
271,AZ-628,train,Other
767,CHIR-98014,train,Other
464,mexeneone,train,Other
1252,IEM1754,train,Other
280,LE-135,train,Other
558,4-iodo-6-phenylpyrimidine,train,Other
546,NVP-AEW541,train,Other
1440,RN-1734,val,Other
1314,trequinsin,train,Other
1007,"2,3-DCPE",train,Other
945,CCT129202,train,Other
0,8-bromo-cGMP,train,Other
152,fendiline,train,Other
706,LY2183240,test,Other
641,SU3327,train,Other
830,BAY-11-7085,train,Other
279,bisindolylmaleimide-ix,train,Other
461,TG-100572,test,Other
188,tetrahydropapaverine,train,Other
953,Ro-90-7501,train,Other
737,CR8-(R),train,Other
674,ABT-702,train,Other
550,pirenperone,val,Other
838,BIBU-1361,train,Other
994,SGI-1027,val,Other
240,1-azakenpaullone,train,Other
462,digitoxigenin,train,Other
1157,ZM-447439,train,Other
260,BIBR-1532,train,Other
624,NH125,train,Other
432,PLX-4720,train,Other
898,arctigenin,val,Other
1079,ku-0063794,train,Other
1210,WYE-354,train,Other
451,PD-168393,train,Other
49,SB-205384,train,Other
479,RKI-1447,train,Other
1452,TMS,test,Other
408,TG-02,train,Other
521,scriptaid,train,Other
573,VE-821,test,Other
467,U-0126,train,Other
750,ZM-306416,train,Other
412,GSK650394,train,Other
465,digoxigenin,train,Other
1249,Ro-10-5824,test,Other
1004,FERb-033,test,Other
381,PFI-1,train,Other
749,GW-441756,train,Other
906,CMPD-1,val,Other
1402,AM-251,train,Other
171,NSC-23766,val,Other
23,GSK429286A,test,Other
137,EMD-53998,train,Other
931,amonafide,test,Other
655,ZK-93423,train,Other
639,vanoxerine,train,Other
993,combretastatin-A-4,test,Other
1411,GSK461364,train,Other
535,BMS-986020,train,Other
707,camptothecin,train,Other
404,LY2603618,val,Other
288,frentizole,val,Other
1375,VLX600,train,Other
1246,CGM097,train,Other
510,BF2.649,test,Other
414,tiotidine,train,Other
405,MK-0812,val,Other
934,MK-2461,train,Other
341,ICI-162846,train,Other
1233,ixazomib,train,Other
670,SR-27897,train,Other
944,selumetinib,train,MEK_inhibitor
975,CB-10-277,train,Other
1188,alisertib,train,Other
1046,PHA-793887,test,Other
